Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Inflation Index,Real cost (2025 dollars),Cost/km (2025 dollars),Source2,Reference,,,,
FI,Helsinki,Ring Rail Line,Ring Rail Line,2009,2015,1,18,44.00%,8,0,0,5,,Plan,774,EUR,2012,1.3,1005.94,55.9,1.394762058,"1,403.0",77.9,Plan,https://vayla.fi/web/en/projects/all-projects/ring-rail-line,,,,
SE,Stockholm,Arenastaden,Arenastaden,2020,2030,0,4.1,100.00%,4.1,0,0,2,140,Plan,"5,643",SEK,2016,0.113,637.659,155.5,1.334248584,850.8,207.5,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,,,
SE,Stockholm,Nacka/Söderort,Nacka/Söderort,2020,2030,0,11.5,100.00%,11.5,0,0,6,140,Plan,"20,884",SEK,2016,0.113,2359.892,205.2,1.334248584,"3,148.7",273.8,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,,,
SE,Stockholm,Barkarby,Barkarby,2020,2026,0,3.3,100.00%,3.3,0,0,2,140,Plan,"5,286",SEK,2016,0.113,597.318,181.0,1.334248584,797.0,241.5,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,,,
SE,Stockholm,Citybanan,Citybanan,2007,2017,1,7.4,81.00%,6,0,0,2,200,Plan,"16,800",SEK,2007,0.1125,1890,255.4,1.544448303,"2,919.0",394.5,Plan,https://web.archive.org/web/20150402164159/http://www.trafikverket.se/en/startpage/Projects/Railway-construction-projects1/The-Stockholm-City-Line/,,,,
SE,Malmo,Citytunneln,Citytunneln,2005,2010,1,17,35.00%,6,0,0,3,,Trade,"8,450",SEK,2001,0.106,895.7,52.7,1.808181818,"1,619.6",95.3,Trade,http://www.tunnel-online.info/en/artikel/artikel_en_1204638.html,,,,
UK,London,Northern Line,Northern Line Extension,2015,2021,0,3.2,100.00%,3.2,0,0,2,,Media,"1,200",GBP,2017,1.47,1764,551.3,1.306417265,"2,304.5",720.2,Media,http://www.cityam.com/257486/full-steam-ahead-tunnelling-12bn-northern-line-extension,,,,
MX,Mexico City,Line 12,Line 12,2008,2012,0,24.5,43.00%,10.5,12.57,1.395,20,,Wiki,"47,906",MXN,2010,0.13,6227.78,254.2,1.468563121,"9,145.9",373.3,Media,http://www.elfinanciero.com.mx/nacional/linea-12-costara-mas-que-el-tren-mexico-queretaro,,,,
TW,Taipei,Wanda Line,Wanda Line Phase 2,2021,2028,0,13.3,21.05%,2.8,0,0,13,,Media,"55,530",TWD,2018,0.068,3776.04,283.9,1.275269108,"4,815.5",362.1,Media,http://www.taipeitimes.com/News/taiwan/archives/2018/05/03/2003692436,,,,
IT,Milan,M5,M5 phase 1,2007,2013,0,6.1,100.00%,6.1,0,0,9,50,agency,508,EUR,2010,1.3,660.4,108.3,1.468563121,969.8,159.0,Trade,http://www.expofairs.com/pianeta-costruzioni/001/pagina_017.pdf,,,,
IT,Milan,M5,M5 phase 2,2010,2015,0,6.5,100.00%,6.5,0,0,10,50,agency,751,EUR,2012,1.3,976.3,150.2,1.394762058,"1,361.7",209.5,Plan,https://web.archive.org/web/20140508030702/http://cantieri.mit.gov.it/Lists/Scheda%20Tecnica/DispForm.aspx?ID=69&Source=http%3A%2F%2Fcantieri%2Emit%2Egov%2Eit%2FPagine%2FLombardia%2Easpx&ContentTypeId=0x01005F85B0B356E4DE4EBCF0C8A435933BF500F5F261BE3F32F347B9117D7DBB5780B0,,,,
IT,Milan,Line 4,Line 4,2015,2024,0,15.2,100.00%,15.2,0,0,21,50,Wiki,"1,697",EUR,2019,1.3,2205.71,145.1,1.252572783,"2,762.8",181.8,Plan,https://www.metro4milano.it/wordpress/wp-content/uploads/2020/04/Quadro-Economico-_-Atto-Integrativo-n.1-alla-Convenzione-di-concessione_-allegato-13.pdf,,,,
FR,Paris,Grand Paris Express,Grand Paris Express,2017,2030,0,200,80.00%,160,0,0,68,,Wiki,"36,100",EUR,2012,1.3,46930,234.7,1.394762058,"65,456.2",327.3,Plan,https://www.gpmetropole-infos.fr/le-cout-du-grand-paris-express-revu-a-la-hausse/,,,,
